frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
297,9910.8,,,,,,,,,,17,793,609,,,,,,,,,,,,,,,
298,9942.8,,,,,,,,,,17,776,614,,,,,,,,,,,,,,,
299,9975.0,,,,,,,,,,18,753,616,,,,,,,,,,,,,,,
300,10010.8,,,,,,,,,,17,725,619,,,,,,,,,,,,,,,
301,10045.8,,,,,,,,,,18,696,622,,,,,,,,,,,,,,,
302,10074.8,,,,,,,,,,19,665,623,,,,,,,,,,,,,,,
303,10110.5,,,,,,,,,,18,635,626,,,,,,,,,,,,,,,
304,10145.3,,,,,,,,,,18,611,627,,,,,,,,,,,,,,,
305,10174.8,,,,,,,,,,18,590,628,,,,,,,,,,,,,,,
306,10210.8,,,,,,,,,,18,577,630,,,,,,,,,,,,,,,
307,10244.5,,,,,,,,,,18,573,630,,,,,,,,,,,,,,,
308,10275.9,,,,,,,,,,19,575,631,,,,,,,,,,,,,,,
309,10310.7,,,,,,,,,,19,586,631,,,,,,,,,,,,,,,
310,10345.6,,,,,,,,,,19,604,631,,,,,,,,,,,,,,,
311,10375.7,,,,,,,,,,18,627,631,,,,,,,,,,,,,,,
312,10414.0,,,,,,,,,,19,655,631,,,,,,,,,,,,,,,
313,10444.0,,,,,,,,,,19,686,628,,,,,,,,,,,,,,,
314,10476.1,,,,,,,,,,19,716,626,,,,,,,,,,,,,,,
315,10515.7,,,,,,,,,,19,746,623,,,,,,,,,,,,,,,
316,10543.5,,,,,,,,,,19,770,622,,,,,,,,,,,,,,,
317,10575.1,,,,,,,,,,19,790,618,,,,,,,,,,,,,,,
318,10610.9,,,,,,,,,,19,801,615,,,,,,,,,,,,,,,
319,10643.2,,,,,,,,,,19,806,612,,,,,,,,,,,,,,,
320,10674.9,,,,,,,,,,19,802,608,,,,,,,,,,,,,,,
321,10710.5,,,,,,,,,,20,790,604,,,,,,,,,,,,,,,
322,10742.8,,,,,,,,,,19,770,602,,,,,,,,,,,,,,,
323,10774.9,,,,,,,,,,19,745,599,,,,,,,,,,,,,,,
324,10810.6,,,,,,,,,,19,716,595,,,,,,,,,,,,,,,
325,10845.0,,,,,,,,,,19,685,592,,,,,,,,,,,,,,,
326,10874.7,,,,,,,,,,19,655,589,,,,,,,,,,,,,,,
327,10910.5,,,,,,,,,,19,627,586,,,,,,,,,,,,,,,
328,10942.9,,,,,,,,,,19,603,584,,,,,,,,,,,,,,,
329,10975.2,,,,,,,,,,20,585,582,,,,,,,,,,,,,,,
330,11011.2,,,,,,,,,,19,574,579,,,,,,,,,,,,,,,
331,11044.2,,,,,,,,,,19,572,579,,,,,,,,,,,,,,,
332,11074.9,,,,,,,,,,19,576,578,,,,,,,,,,,,,,,
333,11110.8,,,,,,,,,,20,589,577,,,,,,,,,,,,,,,
334,11143.9,,,,,,,,,,19,608,575,,,,,,,,,,,,,,,
335,11175.1,,,,,,,,,,20,633,576,,,,,,,,,,,,,,,
336,11210.6,,,,,,,,,,20,663,575,,,,,,,,,,,,,,,
337,11243.0,,,,,,,,,,19,693,577,,,,,,,,,,,,,,,
338,11274.9,,,,,,,,,,19,722,577,,,,,,,,,,,,,,,
